Home,Away,1,X,2,Under,Over,R1,RX,R2,RUO
PSV II,FC Eindhoven,1.4,3.75,4.6,2.7,1.2,TRUE,FALSE,FALSE,TRUE
MVV Maastricht,FC Oss,1.65,3.4,3.3,2.3,1.3,FALSE,FALSE,TRUE,FALSE
Roda,Ajax II,2.2,3.2,2.3,2.15,1.35,TRUE,FALSE,FALSE,TRUE
NEC Nijmegen,Cambuur,1.3,4,5.5,2.05,1.4,FALSE,TRUE,FALSE,TRUE
Go Ahead Eagles,Utrecht II,1.35,4,5,2.15,1.35,TRUE,FALSE,FALSE,TRUE
Twente,Sparta Rotterdam,1.9,3.2,2.8,1.95,1.45,TRUE,FALSE,FALSE,TRUE
Dordrecht,Helmond Sport,1.75,3.3,3.1,1.95,1.45,FALSE,TRUE,FALSE,FALSE
RKC Waalwijk,Telstar,1.95,3.2,2.7,2.05,1.4,TRUE,FALSE,FALSE,FALSE
Volendam,Den Bosch,1.6,3.4,3.5,2.05,1.4,FALSE,FALSE,TRUE,TRUE
AZ Alkmaar II,Almere City,2.2,3.2,2.3,2.15,1.35,FALSE,FALSE,TRUE,TRUE
FC Oss,PSV II,2.5,3.3,2,2.15,1.35,TRUE,FALSE,FALSE,TRUE
Almere City,Roda,2.3,3.2,2.2,2.15,1.35,FALSE,FALSE,TRUE,TRUE
Ajax II,Dordrecht,1.2,4.75,6.25,2.7,1.2,TRUE,FALSE,FALSE,TRUE
Cambuur,AZ Alkmaar II,1.35,4.3,4.5,2.5,1.25,TRUE,FALSE,FALSE,TRUE
Den Bosch,RKC Waalwijk,1.65,3.5,3.2,1.95,1.45,FALSE,FALSE,TRUE,TRUE
Helmond Sport,Twente,3.75,3.5,1.55,2.05,1.4,FALSE,TRUE,FALSE,TRUE
FC Eindhoven,Go Ahead Eagles,2.6,3.2,2,2.15,1.35,FALSE,FALSE,TRUE,TRUE
Sparta Rotterdam,Volendam,1.3,4.5,4.75,2.15,1.35,TRUE,FALSE,FALSE,FALSE
Telstar,MVV Maastricht,1.8,3.2,3,1.95,1.45,FALSE,FALSE,TRUE,FALSE
Utrecht II,NEC Nijmegen,7,4.5,1.2,2.3,1.3,FALSE,FALSE,TRUE,TRUE
